Delta_k,Omega,local_slope,omega_power,relative_power_residual,omega_lambda,omega_linear_quartic
0.05,6.312500000000001e-06,,6.264173926935077e-06,0.007655615535037509,0.05000000000125,4.662843759279335e-05
0.07,2.381792000000001e-05,3.946555761239001,2.4053998604179397e-05,-0.00991180607623957,0.07000000000343,8.050143703358464e-05
0.1,0.00010060000000000002,4.039291359297778,0.00010013712637886898,0.00460112943470219,0.10000000001,0.00018053683162867117
0.14,0.00038262336000000015,3.9703093093938326,0.00038451970303486984,-0.004956161157723611,0.14000000002744,0.0004962975547389226
0.2,0.001608,4.025220619113975,0.0016007608020430213,0.004501988779215638,0.20000000008000002,0.001757552966346694
0.28,0.006109680640000002,3.9672911680704535,0.006146811781902013,-0.0060774276250896,0.28000000021952004,0.006357310000225899
0.4,0.025702400000000004,4.028065031663172,0.025589261825453628,0.004401852533085474,0.40000000063999996,0.025858774782123013
0.55,0.09104871875000002,3.97172410867521,0.09143026641404028,-0.004190587954212844,0.5500000016637501,0.09172046729654401
0.75,0.31735546875,4.025819518158672,0.3160169438751781,0.0042177463652795155,0.75000000421875,0.3162164691056422
1.0,0.998,3.982628352167099,0.998398694209246,-0.00039949319563726117,1.00000001,0.998293099592188
