m,f_re,f_im,abs_res,dq2,passes_freq_criterion
-19,10.826904074374342,-0.059426966203060906,6.143707791072001e-15,-0.006469645625658771,True
-18,10.584744512815286,-0.07356555801258546,6.139693935002175e-15,-0.0048768471847147055,True
-17,10.341301888928173,-0.08840985723897557,8.005932084973442e-15,-0.0016585310718273405,True
-16,10.095960431533854,-0.10378865446508609,1.1551122306821434e-15,-0.00247628846614667,True
-16,11.078568862347833,-1.3355680907871899,4.540751942754243e-15,0.9801321423478324,False
-14,9.399550955175973,-0.3086180376787981,1.3676290564149478e-14,-0.19974544982402698,False
-14,9.596712867697871,-0.13583831664187473,8.747542958250513e-15,-0.002583537302129457,True
-14,10.649226336244075,-1.4816070850967529,1.1430445635548515e-15,1.0499299312440744,False
-13,9.12188681767184,-0.31733519724228215,1.9137766262657734e-15,-0.22031493932816026,False
-13,9.34113131715088,-0.15255581191089548,8.95090418262362e-16,-0.0010704398491192535,True
-12,8.837878345936394,-0.3280129536554426,6.122014287876357e-14,-0.24421345206360634,False
-12,9.080269181515511,-0.16991931874681288,5.165818938893381e-15,-0.0018226164844890036,True
-11,8.545584309445056,-0.34109901398035825,2.357759349791958e-13,-0.2656538735549443,False
-11,8.81297273777321,-0.18820841648806325,8.95090418262362e-16,0.0017345547732094957,True
-10,8.537924932675796,-0.20785453367759593,1.7763568394002505e-15,0.004497121675797189,True
-9,8.253626453701822,-0.22949758307850213,3.774758283725532e-15,0.007616552701820822,True
-8,7.958391738611146,-0.254078069765515,1.1102230246251565e-16,0.012789506611146528,True
-7,7.650392494391533,-0.2829865725062154,1.0934428697813141e-15,0.01660116139153356,True
-6,7.327835886302165,-0.31830221806922676,1.3788683915077173e-15,0.0294978863021651,True
-5,6.989518102570768,-0.3631414341338379,1.8209011484034673e-15,0.04092657557076862,True
-4,6.636443687771222,-0.4219711085768067,1.1443916996305594e-15,0.06640455777122245,False
