m,f_re_Hz,f_im_Hz,abs_res
-11.0,8.812972738,-0.188208416,3.724e-16
-11.1,8.840028085,-0.186326962,3.266e-15
-11.2,8.867007465,-0.184458402,8.926e-15
-11.3,8.893912255,-0.182602247,8.921e-15
-11.4,8.920743815,-0.180758028,5.505e-15
-11.5,8.947503483,-0.178925294,1.144e-15
-11.6,8.974192585,-0.177103611,2.776e-16
-11.7,9.000812426,-0.175292563,1.388e-15
-11.8,9.027364294,-0.173491752,1.110e-15
-11.9,9.053849461,-0.171700793,6.852e-15
-12.0,9.080269182,-0.169919319,4.620e-15
-12.1,9.106624694,-0.168146978,5.237e-16
-12.2,9.132917220,-0.166383432,6.478e-15
-12.3,9.159147966,-0.164628360,5.771e-15
-12.4,9.185318120,-0.162881451,1.001e-15
-12.5,9.211428858,-0.161142410,1.878e-15
-12.6,9.237481337,-0.159410956,9.607e-15
-12.7,9.263476702,-0.157686819,1.540e-14
-12.8,9.289416080,-0.155969744,8.951e-16
-12.9,9.315300586,-0.154259485,7.543e-15
-13.0,9.341131317,-0.152555812,4.475e-16
-13.1,9.366909359,-0.150858503,8.759e-15
-13.2,9.392635783,-0.149167351,4.397e-15
-13.3,9.418311645,-0.147482157,4.203e-15
-13.4,9.443937987,-0.145802736,8.493e-15
-13.5,9.469515840,-0.144128911,4.055e-15
-13.6,9.495046219,-0.142460517,5.640e-15
-13.7,9.520530128,-0.140797401,1.110e-16
-13.8,9.545968556,-0.139139417,4.805e-15
-13.9,9.571362481,-0.137486430,1.187e-15
-14,9.596712868,-0.135838317,0.000e+00
