m,f_re_Hz,f_im_Hz,abs_res
-4.0,6.636443688,-0.421971109,1.078e-15
-4.1,6.672282653,-0.415307697,5.661e-16
-4.2,6.708026353,-0.408831966,5.237e-16
-4.3,6.743664102,-0.402538818,1.665e-16
-4.4,6.779186576,-0.396422928,4.965e-16
-4.5,6.814585675,-0.390478830,5.901e-16
-4.6,6.849854401,-0.384700981,2.289e-16
-4.7,6.884986744,-0.379083821,1.241e-16
-4.8,6.919977578,-0.373621814,1.590e-15
-4.9,6.954822571,-0.368309482,1.610e-15
-5.0,6.989518103,-0.363141434,1.821e-15
-5.1,7.024061189,-0.358112388,1.578e-15
-5.2,7.058449414,-0.353217184,1.917e-15
-5.3,7.092680874,-0.348450798,7.216e-16
-5.4,7.126754118,-0.343808350,1.019e-15
-5.5,7.160668103,-0.339285109,1.625e-15
-5.6,7.194422146,-0.334876498,0.000e+00
