m,f_re_Hz,f_im_Hz,abs_res
-4.0,9.310230441,-2.102357532,6.684e-16
-4.5,9.312019801,-2.128250938,9.208e-16
-5.0,9.321786555,-2.135312244,1.633e-15
-5.5,9.340621210,-2.127577295,2.950e-15
-6.0,9.368918162,-2.108522297,1.724e-15
-6.5,9.406552874,-2.081067095,2.162e-15
-7.0,9.453045737,-2.047595942,3.775e-15
-7.5,9.507702754,-2.010000937,1.821e-15
-8.0,9.569726585,-1.969742550,4.096e-15
-8.5,9.638296918,-1.927918160,2.630e-15
-9.0,9.712623446,-1.885330302,2.223e-15
-9.5,9.791977008,-1.842548973,2.495e-15
-10.0,9.875704807,-1.799965109,6.009e-15
-10.5,9.963234925,-1.757834464,2.335e-15
-11.0,10.054074245,-1.716312439,1.601e-15
-11.5,10.147802672,-1.675481055,2.371e-15
-12,10.244066000,-1.635369000,0.000e+00
-12.5,10.342566121,-1.595969148,9.550e-16
-13.0,10.443056839,-1.557245593,2.448e-15
-13.5,10.545333096,-1.519146314,3.639e-15
-14.0,10.649226336,-1.481607085,1.650e-15
