m,q,f_model_hz,f_model_im_hz,abs_res,root_success,root_nfev,root_message,seed_f_hz,real_axis_abs_res,light_ring_hz,experimental_hz,delta_hz,relative_error_percent
-21,1,10.53418645660406,-8.419558764074268e-06,5.9511372090463725e-15,True,10,The solution converged.,10.534167518957126,4.2780389275180585e-05,11.298257843498567,10.53127805,0.002908406604060332,0.02761684375108045
-20,1,10.305550274295342,-1.6689238935901892e-05,2.7330787199248204e-15,True,8,The solution converged.,10.305531400393061,8.505024089543603e-05,11.022386919577947,10.30228351,0.003266764295341673,0.031709128293458046
-19,1,10.073878266193283,-3.081465169540502e-05,1.9471604548083145e-15,True,7,The solution converged.,10.073859436034892,0.00015720118559891394,10.749965551743404,10.07028344,0.00359482619328233,0.03569736854678174
-18,1,9.838593218240396,-5.340735924129041e-05,9.17850699146428e-16,True,7,The solution converged.,9.838574289618679,0.00027218507981526473,10.479789718476436,9.840683264,-0.0020900457596049193,-0.021238827666071696
-17,1,9.599041050176925,-8.752700020459508e-05,2.282896094385478e-15,True,12,The solution converged.,9.599022091391825,0.0004446286867697487,10.210660796999214,9.600492823,-0.0014517728230742932,-0.015121857282120623
-16,1,9.3544754563903,-0.00013658603213135512,1.1379786002407855e-15,True,7,The solution converged.,9.354456456336257,0.0006899222809222011,9.941359393542882,9.355011082,-0.0005356256097002188,-0.005725547570230219
-15,1,9.104038136302805,-0.00020431786949350267,7.066778860128639e-16,True,11,The solution converged.,9.104018932408703,0.0010235218043761912,9.670615315278155,9.103267196,0.0007709403028055561,0.008468830873648414
-14,1,8.846733041951687,-0.0002949046171088259,5.403879419618045e-16,True,9,The solution converged.,8.846713549462983,0.0014609489663205942,9.39707168292226,8.844144355,0.002588686951687791,0.029270066699265122
-13,1,8.581392352340073,-0.0004133772136334572,4.571172461510544e-15,True,9,The solution converged.,8.581372479304322,0.0020189719985812603,9.11924021211553,8.582278857,-0.0008865046599275672,-0.010329478623320468
-12,1,8.306630716861262,-0.0005664350078683552,3.775166431889533e-16,True,15,The solution converged.,8.306610422484408,0.0027184759453281345,8.835443157444212,8.304259799,0.0023709178612616455,0.02855062243533315
-11,1,8.020782378186668,-0.0007639220628846446,4.0265917643615105e-15,True,13,The solution converged.,8.02076137607477,0.003589703490876507,8.54373487739521,8.020133041,0.0006493371866689301,0.00809633934187165
-10,1,7.721812502880394,-0.0010214156684757187,1.2351231148954867e-15,True,12,The solution converged.,7.721790653586612,0.004681103622022301,8.241791610124768,7.721731873,8.062988039370111e-05,0.0010441942522717417
-9,1,7.407188261234489,-0.0013648833751257374,3.908020529499657e-16,True,13,The solution converged.,7.407165241618766,0.006074387001249392,7.926750182823638,7.406262072,0.000926189234489172,0.012505488267701311
-8,1,7.073684490638275,-0.0018395279308414882,2.2065682614424986e-15,True,13,The solution converged.,7.073659816196912,0.007911497164135304,7.5949614697275525,7.076173999,-0.0024895083617249014,-0.0351815594426694
-7,1,6.717077707039626,-0.002527789061010834,8.326672684688674e-17,True,7,The solution converged.,6.717050482482466,0.010446446968840945,7.241594397049724,6.714687044,0.0023906630396259843,0.03560349162902825
-6,1,6.331637173369982,-0.003589025113359975,1.1796119636642288e-15,True,14,The solution converged.,6.331605506825178,0.014152749828711213,6.859961194832402,6.333524665,-0.001887491630017557,-0.029801599107178296
-5,1,5.9092127403581705,-0.005355504733076262,5.311767472816653e-16,True,13,The solution converged.,5.909172600826665,0.01996354064299496,6.440279589841572,5.91099973,-0.0017869896418298836,-0.03023159741930632
-4,1,5.437400561301154,-0.00859253937793515,3.888257972851056e-16,True,8,The solution converged.,5.437341372264291,0.029846361274339636,5.967170689323594,5.437524431,-0.0001238696988457022,-0.0022780531916234844
