m,f_re,f_im,abs_res,success,sigma_min_1e-4,sigma_min_1e-5,sigma_min_1e-6,jac_reliable
-14.0,9.399550955175973,-0.3086180376787981,1.3633611069437947e-14,True,116.01015721172301,117.44223339087944,117.58657656617869,True
-14.01,9.402301361505973,-0.30853948889382354,2.4812196136955653e-14,True,116.08780614909492,117.52022831673011,117.66460659500547,True
-14.02,9.405051302585072,-0.30846109918886694,2.7756366638262046e-14,True,116.16554749670908,117.59831169233392,117.74272455450901,True
-14.03,9.407800779960656,-0.30838286820091027,3.511698785132082e-13,True,116.2433812931829,117.67648343392872,117.82093037322915,True
-14.04,9.4105497951731,-0.30830479562248053,2.40565757565168e-14,True,116.32130764189878,117.754743745703,117.8992244378069,True
-14.049999999999999,9.413298349762174,-0.3082268811338253,1.5256202517897713e-14,True,116.39932662861125,117.83309259694695,117.97760663109028,True
-14.059999999999999,9.416046445271402,-0.3081491243564512,1.547691513710011e-13,True,116.47743826886793,117.9115300189266,118.05607692020519,True
-14.069999999999999,9.418794083227727,-0.3080715250689472,1.359488444095497e-13,True,116.5556427641123,117.99005620026774,118.13463556218261,True
-14.079999999999998,9.421541265177085,-0.30799408283021784,5.731634731316431e-14,True,116.6339400534496,118.0686710676028,118.21328264532264,True
-14.089999999999998,9.424287992647775,-0.3079167973673716,1.9324519291426302e-13,True,116.71233027475303,118.14737470652086,118.29201791287508,True
-14.099999999999998,9.427034267172957,-0.30783966833775434,1.1624061908788011e-14,True,116.79081348134639,118.2261671501539,118.37084133492851,True
-14.109999999999998,9.42978009027875,-0.3077626954546746,1.0031644134792477e-14,True,116.86938979348673,118.3050485678307,118.44975380862306,True
-14.119999999999997,9.432525463497901,-0.30768587834344635,2.737110949278706e-13,True,116.94805922496585,118.38401887995819,118.52875447748534,True
-14.129999999999997,9.43527038835275,-0.3076092167209727,9.550499576785473e-15,True,117.02682189696561,118.46307821684827,118.60784379618548,True
-14.139999999999997,9.438014866372251,-0.30753271021648143,2.376794687283927e-13,True,117.10567782521774,118.54222659165592,118.68702192115265,True
-14.149999999999997,9.440758899076947,-0.30745635852999287,3.906400804755737e-14,True,117.18462710958,118.62146402826306,118.76628822558612,True
-14.159999999999997,9.443502487985091,-0.30738016136738716,9.200693349407644e-14,True,117.26366985393823,118.70079065236244,118.84564345583219,True
-14.169999999999996,9.446245634622333,-0.30730411833973215,6.056632931320405e-15,True,117.34280605208025,118.78020641956027,118.92508750633968,True
-14.179999999999996,9.448988340501218,-0.307228229177552,1.0756810119444394e-13,True,117.42203583335277,118.85971149583821,119.00462036142683,True
-14.189999999999996,9.451730607139208,-0.3071524935425304,6.600440597827715e-14,True,117.50135924926077,118.93930584919345,119.08424194809825,True
-14.199999999999996,9.454472436048063,-0.3070769111383969,9.204874178431884e-14,True,117.58077639792182,119.01898957670146,119.16395256509364,True
-14.209999999999996,9.457213828746394,-0.30700148158037044,7.440783877055818e-14,True,117.6602872688035,119.09876264163054,119.24375240300785,True
-14.219999999999995,9.459954786740097,-0.3069262045988558,9.59813328662617e-15,True,117.7398919926113,119.17862516823482,119.32364063866811,True
-14.229999999999995,9.462695311539543,-0.30685107986068677,2.940964865999813e-14,True,117.81959061988644,119.25857715822671,119.40361804133632,True
-14.239999999999995,9.4654354046541,-0.30677610702613195,6.336997426342313e-14,True,117.89938318932234,119.33861871457182,119.48368505861906,True
-14.249999999999995,9.468175067581784,-0.30670128585624346,8.398646393936364e-14,True,117.97926986954428,119.41874984371213,119.56384057006098,True
-14.259999999999994,9.47091430183683,-0.3066266159273167,7.7466701586125e-14,True,118.05925059129902,119.49897055310669,119.64408533340622,True
-14.269999999999994,9.473653108915869,-0.30655209698126196,1.0501929708541807e-13,True,118.13932549667564,119.57928096406306,119.72441964030816,True
-14.279999999999994,9.476391490326693,-0.3064777286280991,1.82337021390535e-14,True,118.21949456209045,119.65968101366917,119.80484299171218,True
-14.289999999999994,9.479129447558082,-0.3064035106575281,2.975527160155081e-14,True,118.29975797784299,119.74017089795908,119.8853556359163,True
-14.299999999999994,9.481866982113809,-0.30632944268817547,3.2623571095629056e-14,True,118.38011573128647,119.82075053117336,119.96595770170192,True
-14.309999999999993,9.484604095484608,-0.3062555244566771,4.908636913421672e-14,True,118.46056794771756,119.90142005255197,120.04664906979754,True
-14.319999999999993,9.48734078917786,-0.3061817555124149,1.279942343203222e-13,True,118.54111452435897,119.98217932891154,120.12742986937413,True
-14.329999999999993,9.490077064670603,-0.3061081357004192,1.7549040996922709e-13,True,118.6217557198025,120.063028595701,120.20829984037688,True
-14.339999999999993,9.492812923464781,-0.3060346645938899,2.883366875869919e-13,True,118.70249145626862,120.1439677622117,120.28925941220345,True
-14.349999999999993,9.495548367042627,-0.30596134195238756,2.3856075959725363e-13,True,118.78332188647322,120.22499693680447,120.37030864279781,True
-14.359999999999992,9.498283396895253,-0.3058881674284999,4.72267786752847e-13,True,118.86424702844782,120.3061161666228,120.45144747938386,True
