m,f_re,f_im,f_R_hz,tau_s,Q,abs_res
-14.0,9.596712867697871,-0.13583831664187473,9.596712867697871,1.1716498483376583,35.32402750911116,9.09587098209757e-15
-14.01,9.599245548550966,-0.13567376880984441,9.599245548550966,1.1730708484626924,35.37620290479632,1.0423244182058541e-14
-14.02,9.601777804502646,-0.13550926843226038,9.601777804502646,1.1744948883068849,35.42849103824389,4.46476710438357e-15
-14.03,9.604309636500542,-0.13534481542267648,9.604309636500542,1.1759219782070025,35.48089229168721,1.1866928732135989e-15
-14.04,9.606841045486188,-0.1351804096587822,9.606841045486188,1.177352128859713,35.53340705852072,5.1434009872946005e-15
-14.049999999999999,9.609372032401026,-0.1350160510277583,9.609372032401026,1.1787853509296777,35.58603573150503,1.0127400635423466e-14
-14.059999999999999,9.611902598190659,-0.13485173945726306,9.611902598190659,1.1802216547776487,35.638778694570874,7.214100729072864e-15
-14.069999999999999,9.614432743785262,-0.13468747477137671,9.614432743785262,1.1816610517202923,35.69163636078685,7.073479992989651e-15
-14.079999999999998,9.616962470133844,-0.13452325694203848,9.616962470133844,1.1831035518302224,35.74460910605765,6.35063097490511e-15
-14.089999999999998,9.619491778168932,-0.13435908583020933,9.619491778168932,1.1845491662024312,35.79769733743635,1.0778315928076987e-15
-14.099999999999998,9.622020668828279,-0.13419496134463932,9.622020668828279,1.185997905563338,35.85090145119912,1.2705264429312778e-14
-14.109999999999998,9.62454914304328,-0.13403088335804686,9.62454914304328,1.1874497810085507,35.90422185509474,7.720840863447045e-15
-14.119999999999997,9.62707720175238,-0.1338668518030079,9.62707720175238,1.1889048031554534,35.95765894277969,1.2499750519123837e-14
-14.129999999999997,9.629604845884314,-0.1337028665523502,9.629604845884314,1.1903629832018567,36.011213125763184,9.582871241767491e-15
-14.139999999999997,9.632132076374916,-0.13353892753849517,9.632132076374916,1.1918243318676935,36.06488480146835,1.1368271767870483e-14
-14.149999999999997,9.634658894152208,-0.13337503464799205,9.634658894152208,1.193288860332389,36.11867438152998,9.636742249038158e-15
-14.159999999999997,9.637185300142454,-0.13321118776475893,9.637185300142454,1.1947565798523707,36.17258228025489,1.7098876366520038e-14
-14.169999999999996,9.639711295279874,-0.1330473868369403,9.639711295279874,1.196227501160559,36.22660889647563,8.246349205580614e-15
-14.179999999999996,9.642236880486085,-0.1328836317345401,9.642236880486085,1.197701635742746,36.28075465211643,5.442641205208294e-15
-14.189999999999996,9.644762056688176,-0.13271992237452285,9.644762056688176,1.1991789947162221,36.33501995831336,7.950313203316809e-15
-14.199999999999996,9.647286824808008,-0.13255625864717324,9.647286824808008,1.2006595894918866,36.389405235426565,7.839660476403649e-15
-14.209999999999996,9.649811185774984,-0.13239264050269026,9.649811185774984,1.202143430991251,36.44391088936283,4.6271133556207615e-15
-14.219999999999995,9.652335140506084,-0.13222906781610197,9.652335140506084,1.203630530869662,36.49853734857339,2.710399819191012e-15
-14.229999999999995,9.65485868992339,-0.13206554050580413,9.65485868992339,1.2051209004433723,36.55328503160546,2.1210781103223385e-15
-14.239999999999995,9.657381834948538,-0.13190205849573503,9.657381834948538,1.206614551030995,36.608154357427274,6.5653524581199634e-15
-14.249999999999995,9.659904576491922,-0.13173862164433772,9.659904576491922,1.2081114946046347,36.66314576514743,1.458496737992593e-14
-14.259999999999994,9.662426915481353,-0.1315752299335305,9.662426915481353,1.2096117420603987,36.71825966165,5.731375151869636e-15
-14.269999999999994,9.664948852826882,-0.13141188323684083,9.664948852826882,1.2111153053415555,36.77349648588458,2.6113852161422537e-15
-14.279999999999994,9.667470389450804,-0.13124858151619803,9.667470389450804,1.2126221956330496,36.82885665418675,1.6787511977365987e-14
-14.289999999999994,9.669991526255965,-0.13108532461599126,9.669991526255965,1.2141324252591417,36.88434061777618,7.267510082199786e-15
-14.299999999999994,9.672512264161549,-0.13092211249484464,9.672512264161549,1.2156460055451856,36.93994879796347,8.948838350958004e-15
-14.309999999999993,9.675032604073495,-0.13075894503464314,9.675032604073495,1.2171629485824391,36.99568163963927,2.2121037052315357e-15
-14.319999999999993,9.677552546916074,-0.1305958222419942,9.677552546916074,1.2186832653573025,37.051539554548526,8.361571575554633e-15
