m,snr,n_converged,n_trials,success_rate,f_R_bias,f_R_std,tau_bias,tau_std
-14.0,30,30,30,0.9,-0.005759397095525642,0.018694132775725576,0.0033184192742996554,0.03457091446226634
-14.0,20,30,30,0.6,-0.008841733345352765,0.036553347723555986,-0.004893593048740041,0.05107222201694493
-14.0,10,30,30,0.23333333333333334,-0.0012601145467812103,0.05186655623845646,0.034217018920346454,0.11390826260657856
-14.0,7,30,30,0.2,-0.004654826932032563,0.07665419456745452,0.11381839099217783,0.2265684688689197
-14.49999999999999,30,30,30,0.9,-0.0002995733390172006,0.015799738690742002,-0.0075670342529164936,0.03311631952098554
-14.49999999999999,20,30,30,0.7333333333333333,-0.0020882561066155603,0.019652400077326465,0.008796596044963856,0.058708781980193886
-14.49999999999999,10,30,30,0.43333333333333335,-0.027544210090143295,0.04838366460339143,-0.006521198161551167,0.12379793964036313
-14.49999999999999,7,30,30,0.16666666666666666,0.01554388850107813,0.11746420983674828,0.036635606306307356,0.14604842502762977
-14.772500000000036,30,30,30,0.9333333333333333,0.0022274622895768204,0.021850439546552868,0.002369495427190005,0.027792744149071888
-14.772500000000036,20,30,30,0.5666666666666667,0.006723216231597107,0.02265251324780499,0.021770052881392776,0.05284508809446654
-14.772500000000036,10,30,30,0.36666666666666664,0.0005152808022739208,0.06359314936933204,0.05674794549354545,0.1235807231361298
-14.772500000000036,7,30,30,0.13333333333333333,-0.008644136035266925,0.08805545793498229,0.07462204789647964,0.16332959870259237
