detector,start_ms,f_R,tau,Q,R2,rms,success,tau_at_lower,tau_at_upper,nfev
H1,3,499.9999772065914,0.0005000000000000001,0.7853981275936459,0.0002889518621381759,0.0005528521688915381,True,True,False,20
H1,5,499.9991165080546,0.0005586913086458106,0.8775887047452291,3.271177295516292e-05,0.0005621775579112751,True,False,False,17
H1,7,499.9999999760961,0.0005000000000000001,0.7853981633599003,0.0010121452250189122,0.0005701966408377287,True,True,False,25
H1,10,499.999999826472,0.0005000000000000001,0.7853981631248712,0.0003272936291807138,0.0005731134509873052,True,True,False,31
H1,15,499.99999999811985,0.0005000000000000001,0.7853981633944952,0.0009715277837271108,0.0005645020320101352,True,True,False,31
H1,20,499.99999872463184,0.0005000000000000001,0.7853981613941049,0.0066579773106903994,0.0005468559160559575,True,True,False,20
H1,25,499.99999999842373,0.0005000000000000001,0.7853981633949725,0.004606925145655305,0.0005442938246638003,True,True,False,16
H1,30,499.9999993422368,0.0005000000000000001,0.7853981623642364,0.0007095878385726673,0.0005602437313966558,True,True,False,35
L1,3,499.9999999994217,0.0005000000000000001,0.78539816339654,0.0051015807192879015,0.0009226566054350975,True,True,False,49
L1,5,499.9999995973005,0.0005000000001268321,0.7853981629641168,0.0006027272341461165,0.0009189965034517412,True,True,False,8
L1,7,499.99999020962304,0.0005000000000000001,0.7853981480187603,0.0019055645477376038,0.0009260170266968705,True,True,False,27
L1,10,499.99999936305784,0.0005000000000000001,0.785398162396942,0.0035097893929871837,0.0009265412402608337,True,True,False,42
L1,15,51.50728483050139,0.0005000000000000001,0.0809074538149301,0.0014884979820951605,0.0008942218985747379,True,True,False,23
L1,20,499.9999999999956,0.0005000000000541557,0.785398163482509,0.00036472382710017737,0.0008661463196049587,True,True,False,10
L1,25,499.9999999958479,0.0005000000000000001,0.7853981633909263,0.003511938100876355,0.0008568654905442714,True,True,False,11
L1,30,499.9999999984519,0.0005000000000000001,0.7853981633950168,0.013359187188491495,0.0008504703927418524,True,True,False,38
