detector,requested_frequency_hz,actual_frequency_hz,asd,psd
H1,9.7,9.75,2.620545845849882e-20,6.867260530201074e-40
H1,20.0,20.0,1.5766589109041862e-22,2.4858533213335746e-44
H1,30.0,30.0,3.5961267310838804e-23,1.2932127466016034e-45
H1,50.0,50.0,2.045378235312464e-23,4.18357212548993e-46
H1,100.0,100.0,1.1751267702796346e-23,1.3809229262278451e-46
H1,200.0,200.0,8.734567811573277e-24,7.6292674854972e-47
L1,9.7,9.75,1.069174534426219e-19,1.1431341850655222e-38
L1,20.0,20.0,3.495865153018202e-22,1.2221073168086979e-43
L1,30.0,30.0,6.644461377430635e-23,4.4148866996167416e-45
L1,50.0,50.0,1.9518754828375594e-23,3.8098179005023555e-46
L1,100.0,100.0,7.541145993260328e-24,5.68688828916663e-47
L1,200.0,200.0,8.974270841709267e-24,8.053753714035316e-47
