detector,rootB_frequency_hz,nearest_frequency_hz,asd,psd
H1,9.596712868,9.5,3.102285934639073e-20,9.624178020259425e-40
H1,9.647287,9.75,2.620545845849882e-20,6.867260530201074e-40
H1,9.697698,9.75,2.620545845849882e-20,6.867260530201074e-40
H1,9.747953,9.75,2.620545845849882e-20,6.867260530201074e-40
H1,9.79806,9.75,2.620545845849882e-20,6.867260530201074e-40
H1,9.824309473,9.75,2.620545845849882e-20,6.867260530201074e-40
L1,9.596712868,9.5,9.63601227142003e-20,9.285273249495739e-39
L1,9.647287,9.75,1.069174534426219e-19,1.1431341850655222e-38
L1,9.697698,9.75,1.069174534426219e-19,1.1431341850655222e-38
L1,9.747953,9.75,1.069174534426219e-19,1.1431341850655222e-38
L1,9.79806,9.75,1.069174534426219e-19,1.1431341850655222e-38
L1,9.824309473,9.75,1.069174534426219e-19,1.1431341850655222e-38
