m,start_f_re,start_f_im,root_f_re,root_f_im,frozen_f_re,frozen_f_im,delta_re,delta_im,distance_to_frozen,abs_res,iterations,initial_res,reason,success,elapsed_s
-4.0,6.646443687771,-0.411971108577,6.636443687770468,-0.42197110857694825,6.636443687771,-0.421971108577,-5.32018873400375e-13,5.1736392947532295e-14,5.345285174894093e-13,3.551755796694338e-12,3,0.06337459364348864,RESIDUAL_CONVERGED,True,0.48531579971313477
-4.0,6.626443687771,-0.416971108577,6.636443687771326,-0.4219711085768376,6.636443687771,-0.421971108577,3.2596148002994596e-13,1.6237011735142914e-13,3.641633444925913e-13,5.014286647431414e-13,3,0.05212965292335743,RESIDUAL_CONVERGED,True,0.5435848236083984
-5.0,6.999518102571,-0.353141434134,6.989518102568811,-0.3631414341349121,6.989518102571,-0.363141434134,-2.1893598045608087e-12,-9.121037258807974e-13,2.3717566402546815e-12,1.1801175396515268e-11,3,0.071916528115687,RESIDUAL_CONVERGED,True,0.5534069538116455
-5.0,6.979518102571,-0.358141434134,6.989518102571078,-0.3631414341338267,6.989518102571,-0.363141434134,7.815970093361102e-14,1.7330581414398694e-13,1.9011534411020499e-13,1.6436629580376926e-12,3,0.059623018679285274,RESIDUAL_CONVERGED,True,0.5463516712188721
-6.0,7.337835886,-0.308302218,7.327835886297898,-0.3183022180726285,7.327835886,-0.318302218,2.978977065026811e-10,-7.262845880262603e-11,3.0662344425630974e-10,3.2252427789849826e-11,3,0.07996394008952007,RESIDUAL_CONVERGED,True,0.5621581077575684
-6.0,7.317835886,-0.313302218,7.327835886302901,-0.31830221806906595,7.327835886,-0.318302218,3.029008155408519e-10,-6.90659196500576e-11,3.1067507996687055e-10,4.444457614239974e-12,3,0.06677223851646785,RESIDUAL_CONVERGED,True,0.49883437156677246
-11.0,8.822972737999999,-0.17820841599999998,8.81297273777321,-0.18820841648806325,8.812972738,-0.188208416,-2.2678925404306938e-10,-4.880632564763232e-10,5.381812966572557e-10,9.036560719766055e-16,4,0.11369404266894806,STEP_AND_RESIDUAL_CONVERGED,True,0.7187678813934326
-11.0,8.802972738,-0.18320841599999999,8.81297273777321,-0.18820841648806375,8.812972738,-0.188208416,-2.2678925404306938e-10,-4.880637560766843e-10,5.381817497324608e-10,3.852729846145627e-15,4,0.09757864497697084,STEP_AND_RESIDUAL_CONVERGED,True,0.6580686569213867
-12.0,9.090269182,-0.159919319,9.080269181515511,-0.16991931874681276,9.080269182,-0.169919319,-4.844888934485425e-10,2.5318724894418665e-10,5.466564468685234e-10,5.714414002596807e-15,4,0.11949719800968979,RESIDUAL_CONVERGED,True,0.6973209381103516
-12.0,9.070269182,-0.164919319,9.080269181515511,-0.16991931874681215,9.080269182,-0.169919319,-4.844888934485425e-10,2.531878595668502e-10,5.466567296823814e-10,8.906729185356879e-15,4,0.1029482597092849,STEP_AND_RESIDUAL_CONVERGED,True,0.7108862400054932
-13.0,9.351131317,-0.142555812,9.34113131715088,-0.15255581191089523,9.341131317,-0.152555812,1.5088019722497847e-10,8.91047791107269e-11,1.7522698301066486e-10,3.095213387693951e-15,4,0.12505765271153663,RESIDUAL_CONVERGED,True,0.6950056552886963
-13.0,9.331131317,-0.147555812,9.341131317150882,-0.1525558119108949,9.341131317,-0.152555812,1.5088197358181787e-10,8.910511217763428e-11,1.7522868192203347e-10,1.852210063976631e-14,4,0.10806649357612548,STEP_AND_RESIDUAL_CONVERGED,True,0.7375867366790771
-14.0,9.606712867999999,-0.12583831699999998,9.596712867697871,-0.13583831664187423,9.596712868,-0.135838317,-3.021281003157128e-10,3.5812575127636137e-10,4.685460945602254e-10,1.0379843126025003e-14,4,0.1303692683854773,RESIDUAL_CONVERGED,True,0.6844983100891113
-14.0,9.586712868,-0.13083831699999998,9.596712867697871,-0.13583831664187418,9.596712868,-0.135838317,-3.021281003157128e-10,3.581258067875126e-10,4.685461369892919e-10,1.0659441999608839e-14,4,0.11289542064065351,STEP_AND_RESIDUAL_CONVERGED,True,0.6540052890777588
