C,Omega,capillary_ratio,case,f_lr_hz,gamma,gravity_controlled,h0_k,k_m_inv,long_wave_controlled,r_sp_m,status
0.000769,0.1,0.08076000611967263,BASELINE,8.835443157444208,2.22e-06,True,20.311177668662367,597.3875784900696,False,0.02008746152762444,OK
0.0,0.1,nan,C_ZERO,nan,2.22e-06,False,nan,nan,False,nan,NO_LIGHT_RING
0.000769,0.0,0.08076000611985833,OMEGA_ZERO,9.026429089154483,2.22e-06,True,20.31117766868572,597.3875784907564,False,0.02008746152760135,OK
0.000769,0.1,0.0,GAMMA_ZERO,8.420122109909567,0.0,True,18.037036923758794,530.5010859929057,False,0.022620123345346882,OK
0.0003845,0.1,0.3343054008409086,C_HALF,12.350160999192898,2.22e-06,False,41.324597279421845,1215.4293317477013,False,0.009873054472648649,OK
0.001538,0.1,0.02759692747567075,C_DOUBLE,6.7644682289772655,2.22e-06,True,11.873186774188879,349.2113757114376,False,0.034363141737730536,OK
0.000769,0.05,0.08076000611981841,OMEGA_HALF,8.930936123299347,2.22e-06,True,20.3111776686807,597.3875784906088,False,0.02008746152760631,OK
0.000769,0.2,0.08076000611969743,OMEGA_DOUBLE,8.644457225733934,2.22e-06,True,20.311177668665486,597.3875784901613,False,0.020087461527621357,OK
0.000769,0.1,0.035619014017434766,GAMMA_HALF,8.61440986206371,1.11e-06,True,19.076244408247767,561.0660120072872,False,0.021387857655231025,OK
0.000769,0.1,0.2187754614554337,GAMMA_DOUBLE,9.389656641809712,4.44e-06,False,23.638572139804168,695.252121758946,False,0.017259925751309788,OK
