noise,lambda_true,lambda_fit,lambda_err,sigma,n_points
0.000000000000000000e+00,0.000000000000000000e+00,2.037173800163129219e-06,1.361075746678013382e-07,1.496738006782703145e+01,1.600000000000000000e+01
0.000000000000000000e+00,1.000000000000000021e-02,1.000438306926313206e-02,2.678135769768651142e-07,1.636612046561956646e+01,2.700000000000000000e+01
0.000000000000000000e+00,5.000000000000000278e-02,5.000505930521572523e-02,1.915290266754910496e-07,2.641534447044660894e+01,5.000000000000000000e+01
0.000000000000000000e+00,1.000000000000000056e-01,1.000051522382389840e-01,1.681579785967909751e-07,3.063927315237602045e+01,6.900000000000000000e+01
0.000000000000000000e+00,5.000000000000000000e-01,5.000052469338639449e-01,2.247363056144842313e-06,2.334706824337313691e+00,1.510000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,1.000004895866775323e+00,9.538143342756322590e-06,5.132934785511559239e-01,2.130000000000000000e+02
5.000000000000000104e-03,0.000000000000000000e+00,1.207494496703360662e-03,1.981651742399752423e-03,6.093373880322189295e-01,1.700000000000000000e+01
5.000000000000000104e-03,1.000000000000000021e-02,1.000575848348087687e-02,8.559137012181680876e-06,6.727878608183254228e-01,2.700000000000000000e+01
5.000000000000000104e-03,5.000000000000000278e-02,5.000344794172986024e-02,1.752625612661808810e-05,1.967300777158496328e-01,5.000000000000000000e+01
5.000000000000000104e-03,1.000000000000000056e-01,1.000016468070928088e-01,2.950792530261007345e-05,5.580897592477053470e-02,6.900000000000000000e+01
5.000000000000000104e-03,5.000000000000000000e-01,4.999837592759476812e-01,1.014314726808276235e-04,1.601152346808880633e-01,1.510000000000000000e+02
5.000000000000000104e-03,1.000000000000000000e+00,9.999859745216039819e-01,1.752754482265470157e-04,8.001964073079920192e-02,2.130000000000000000e+02
1.000000000000000021e-02,0.000000000000000000e+00,4.577087882728780345e-03,2.720747149893041044e-03,1.682290793875761858e+00,1.900000000000000000e+01
1.000000000000000021e-02,1.000000000000000021e-02,2.580377409282000656e+01,6.257552202197825864e+01,4.122022998667196902e-01,2.800000000000000000e+01
1.000000000000000021e-02,5.000000000000000278e-02,5.002105969911661149e-02,4.667802041119670199e-05,4.511694997150543229e-01,5.000000000000000000e+01
1.000000000000000021e-02,1.000000000000000056e-01,1.039569374578582922e-01,6.048668319330965416e-03,6.541832431466432229e-01,7.000000000000000000e+01
1.000000000000000021e-02,5.000000000000000000e-01,5.000399164382447470e-01,2.242709986084631386e-04,1.779830584088757939e-01,1.510000000000000000e+02
1.000000000000000021e-02,1.000000000000000000e+00,1.000041132109579456e+00,3.579461815272620717e-04,1.149114355793824233e-01,2.130000000000000000e+02
